decimalyear,pco2atm
1982.083333,339.560175
1982.166667,339.619198
1982.25,339.684343
1982.333333,339.757252
1982.416667,339.839565
1982.5,339.932923
1982.583333,340.038439
1982.666667,340.155113
1982.75,340.281417
1982.833333,340.415825
1982.916667,340.556807
1983,340.702838
1983.083333,340.852388
1983.166667,341.003931
1983.25,341.155938
1983.333333,341.306883
1983.416667,341.455237
1983.5,341.599473
1983.583333,341.738423
1983.666667,341.87235
1983.75,342.001878
1983.833333,342.12763
1983.916667,342.250231
1984,342.370303
1984.083333,342.48847
1984.166667,342.605356
1984.25,342.721582
1984.333333,342.837775
1984.416667,342.954555
1984.5,343.072548
1984.583333,343.192214
1984.666667,343.313373
1984.75,343.435681
1984.833333,343.558794
1984.916667,343.682369
1985,343.806063
1985.083333,343.929533
1985.166667,344.052436
1985.25,344.174427
1985.333333,344.295164
1985.416667,344.414304
1985.5,344.531503
1985.583333,344.646544
1985.666667,344.759716
1985.75,344.871433
1985.833333,344.982109
1985.916667,345.09216
1986,345.202
1986.083333,345.312044
1986.166667,345.422706
1986.25,345.534401
1986.333333,345.647543
1986.416667,345.762547
1986.5,345.879828
1986.583333,345.999825
1986.666667,346.123074
1986.75,346.250138
1986.833333,346.381578
1986.916667,346.517956
1987,346.659834
1987.083333,346.807772
1987.166667,346.962333
1987.25,347.124077
1987.333333,347.293568
1987.416667,347.471366
1987.5,347.658034
1987.583333,347.853765
1987.666667,348.057292
1987.75,348.266978
1987.833333,348.481188
1987.916667,348.698286
1988,348.916636
1988.083333,349.134603
1988.166667,349.350551
1988.25,349.562845
1988.333333,349.769849
1988.416667,349.969926
1988.5,350.161443
1988.583333,350.343129
1988.666667,350.515185
1988.75,350.678178
1988.833333,350.832674
1988.916667,350.97924
1989,351.118444
1989.083333,351.250852
1989.166667,351.37703
1989.25,351.497546
1989.333333,351.612967
1989.416667,351.72386
1989.5,351.830791
1989.583333,351.934323
1989.666667,352.03501
1989.75,352.133399
1989.833333,352.230038
1989.916667,352.325476
1990,352.420262
1990.083333,352.514943
1990.166667,352.610069
1990.25,352.706188
1990.333333,352.803848
1990.416667,352.903598
1990.5,353.005987
1990.583333,353.111345
1990.666667,353.219136
1990.75,353.328608
1990.833333,353.439007
1990.916667,353.549579
1991,353.659573
1991.083333,353.768234
1991.166667,353.874809
1991.25,353.978545
1991.333333,354.078689
1991.416667,354.174487
1991.5,354.265187
1991.583333,354.350235
1991.666667,354.429872
1991.75,354.504541
1991.833333,354.574684
1991.916667,354.640741
1992,354.703156
1992.083333,354.762369
1992.166667,354.818823
1992.25,354.872959
1992.333333,354.925219
1992.416667,354.976045
1992.5,355.025878
1992.583333,355.075185
1992.666667,355.124534
1992.75,355.174518
1992.833333,355.225728
1992.916667,355.278758
1993,355.334199
1993.083333,355.392645
1993.166667,355.454688
1993.25,355.52092
1993.333333,355.591934
