decimalyear,pco2atm
1985.5,336.4684
1985.583333,336.5798
1985.666667,336.689
1985.75,336.7964
1985.833333,336.9024
1985.916667,337.0073
1986,337.1114
1986.083333,337.2151
1986.166667,337.3188
1986.25,337.4228
1986.333333,337.5275
1986.416667,337.6332
1986.5,337.7403
1986.583333,337.8492
1986.666667,337.9606
1986.75,338.0753
1986.833333,338.1939
1986.916667,338.3174
1987,338.4463
1987.083333,338.5816
1987.166667,338.7239
1987.25,338.874
1987.333333,339.0326
1987.416667,339.2006
1987.5,339.3786
1987.583333,339.5671
1987.666667,339.7646
1987.75,339.9696
1987.833333,340.1802
1987.916667,340.3947
1988,340.6115
1988.083333,340.8287
1988.166667,341.0447
1988.25,341.2578
1988.333333,341.4661
1988.416667,341.6681
1988.5,341.862
1988.583333,342.0463
1988.666667,342.2212
1988.75,342.3872
1988.833333,342.5445
1988.916667,342.6937
1989,342.8352
1989.083333,342.9694
1989.166667,343.0967
1989.25,343.2175
1989.333333,343.3324
1989.416667,343.4416
1989.5,343.5456
1989.583333,343.645
1989.666667,343.7403
1989.75,343.8323
1989.833333,343.9218
1989.916667,344.0094
1990,344.0959
1990.083333,344.182
1990.166667,344.2684
1990.25,344.3558
1990.333333,344.4451
1990.416667,344.5368
1990.5,344.6318
1990.583333,344.7305
1990.666667,344.8324
1990.75,344.9367
1990.833333,345.0427
1990.916667,345.1496
1991,345.2567
1991.083333,345.3633
1991.166667,345.4685
1991.25,345.5716
1991.333333,345.6719
1991.416667,345.7686
1991.5,345.8609
1991.583333,345.9484
1991.666667,346.031
1991.75,346.1091
1991.833333,346.1831
1991.916667,346.2533
1992,346.3199
1992.083333,346.3833
1992.166667,346.4438
1992.25,346.5017
1992.333333,346.5574
1992.416667,346.6111
1992.5,346.6632
1992.583333,346.714
1992.666667,346.7642
1992.75,346.8143
1992.833333,346.865
1992.916667,346.9171
1993,346.971
1993.083333,347.0275
1993.166667,347.0872
1993.25,347.1508
1993.333333,347.2189
1993.416667,347.2921
1993.5,347.3711
1993.583333,347.4564
1993.666667,347.5478
1993.75,347.6451
1993.833333,347.7477
1993.916667,347.8555
1994,347.968
1994.083333,348.0851
1994.166667,348.2062
